marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable
Bembos,Hamburguesa Extrema,Extrema Regular,BEMBOS_EXTREMA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,22.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,25.9,CMP_EXTREMA_REGULAR
Bembos,Hamburguesa Extrema,Extrema Mediana,BEMBOS_EXTREMA_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,25.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,25.9,CMP_EXTREMA_MEDIANA
Bembos,Hamburguesa Extrema,Extrema Grande,BEMBOS_EXTREMA_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,28.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,25.9,CMP_EXTREMA_GRANDE
Bembos,Hamburguesa Parrillera,Parrillera Regular,BEMBOS_PARRILLERA_REGULAR,Hamburguesa,Parrillera,Regular,unidad,20.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,23.9,CMP_PARRILLERA_REGULAR
Bembos,Hamburguesa Parrillera,Parrillera Mediana,BEMBOS_PARRILLERA_MEDIANA,Hamburguesa,Parrillera,Mediana,unidad,23.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,23.9,CMP_PARRILLERA_MEDIANA
Bembos,Hamburguesa Parrillera,Parrillera Grande,BEMBOS_PARRILLERA_GRANDE,Hamburguesa,Parrillera,Grande,unidad,26.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,23.9,CMP_PARRILLERA_GRANDE
Bembos,Hamburguesa Queso Tocino,Queso Tocino Regular,BEMBOS_QUESO_TOCINO_REGULAR,Hamburguesa,Queso Tocino,Regular,unidad,17.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,20.9,CMP_QUESO_TOCINO_REGULAR
Bembos,Hamburguesa Queso Tocino,Queso Tocino Mediana,BEMBOS_QUESO_TOCINO_MEDIANA,Hamburguesa,Queso Tocino,Mediana,unidad,20.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,20.9,CMP_QUESO_TOCINO_MEDIANA
Bembos,Hamburguesa Queso Tocino,Queso Tocino Grande,BEMBOS_QUESO_TOCINO_GRANDE,Hamburguesa,Queso Tocino,Grande,unidad,23.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,20.9,CMP_QUESO_TOCINO_GRANDE
Bembos,Hamburguesa A lo Pobre,A lo Pobre Regular,BEMBOS_A_LO_POBRE_REGULAR,Hamburguesa,A lo Pobre,Regular,unidad,18.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_A_LO_POBRE_REGULAR
Bembos,Hamburguesa A lo Pobre,A lo Pobre Mediana,BEMBOS_A_LO_POBRE_MEDIANA,Hamburguesa,A lo Pobre,Mediana,unidad,21.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_A_LO_POBRE_MEDIANA
Bembos,Hamburguesa A lo Pobre,A lo Pobre Grande,BEMBOS_A_LO_POBRE_GRANDE,Hamburguesa,A lo Pobre,Grande,unidad,24.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_A_LO_POBRE_GRANDE
Bembos,Hamburguesa Royal,Royal Regular,BEMBOS_ROYAL_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,17.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,20.9,CMP_ROYAL_REGULAR
Bembos,Hamburguesa Royal,Royal Mediana,BEMBOS_ROYAL_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,20.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,20.9,CMP_ROYAL_MEDIANA
Bembos,Hamburguesa Royal,Royal Grande,BEMBOS_ROYAL_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,23.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,20.9,CMP_ROYAL_GRANDE
Bembos,Hamburguesa La Tumbay,La Tumbay Regular,BEMBOS_LA_TUMBAY_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,18.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_TUMBAY_REGULAR
Bembos,Hamburguesa La Tumbay,La Tumbay Mediana,BEMBOS_LA_TUMBAY_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,21.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_TUMBAY_MEDIANA
Bembos,Hamburguesa La Tumbay,La Tumbay Grande,BEMBOS_LA_TUMBAY_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,24.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_TUMBAY_GRANDE
Bembos,Hamburguesa Mexicana,Mexicana Regular,BEMBOS_MEXICANA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,18.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_MEXICANA_REGULAR
Bembos,Hamburguesa Mexicana,Mexicana Mediana,BEMBOS_MEXICANA_MEDIANA,Hamburguesa,Hamburguesas,Mediana,unidad,21.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_MEXICANA_MEDIANA
Bembos,Hamburguesa Mexicana,Mexicana Grande,BEMBOS_MEXICANA_GRANDE,Hamburguesa,Hamburguesas,Grande,unidad,24.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_MEXICANA_GRANDE
Bembos,Hamburguesa La Churrita,La Churrita Regular,BEMBOS_LA_CHURRITA_REGULAR,Hamburguesa,Hamburguesas,Regular,unidad,18.9,Hamburguesas,https://www.bembos.com.pe/menu/hamburguesas,21.9,CMP_LA_CHURRITA_REGULAR
